Title,Price,Rating,Date
Star Wars Jedi: Survivor - PlayStation 5,89,4.4,28 April 2023
The Last Of Us Part 1 - PlayStation 5,94,4.8,2 September 2022
Gran Turismo 7 Standard Edition - PlayStation 5,84,4.6,4 March 2022
Hogwarts Legacy - PlayStation 5,79,4.6,10 February 2023
Call of Duty: Modern Warfare 2 - PlayStation 5,79,4.6,28 October 2022
Ratchet & Clank: Rift Apart - PlayStation 5,69,4.7,11 June 2021
God of War: Ragnarok Standard Edition - PlayStation 5,89,4.8,9 November 2022
Marvel's Spider-Man Miles Morales - PlayStation 5,44,4.7,12 November 2020
Dead Space - PlayStation 5,56,4.7,27 January 2023
Assassin's Creed Valhalla - PlayStation 5,23,4.4,12 November 2020
Horizon Forbidden West - PlayStation 5,74,4.7,18 February 2022
Stray - PlayStation 5,47,4.7,20 September 2022
Uncharted Legacy of Thieves Collection - PlayStation 5,48,4.7,28 January 2022
Avatar: Frontiers Of Pandora - PlayStation 5,89,,7 December 2023
Star Wars Jedi Fallen Order - PlayStation 5,28,4.5,31 March 2022
Far Cry 6 - PlayStation 5,23,4.3,7 October 2021
Diablo IV - PlayStation 5,83,4.5,6 June 2023
Wild Hearts - PlayStation 5,44,3.5,17 February 2023
Gotham Knights - PlayStation 5,32,3.5,21 October 2022
Banishers: Ghosts of New Eden - PlayStation 5,99,,31 December 2023
Ghost Of Tsushima Director's Cut (PS5),79,4.8,20 August 2021
Ghost of Tsushima: Director's Cut - PlayStation 5,36,4.6,20 August 2021
Marvel's Spider-Man: Miles Morales Ultimate Edition for PlayStation 5,75,4.8,31 January 2021
Sonic Frontiers - PlayStation 5,44,4.6,8 November 2022
Like a Dragon: Ishin! - PlayStation 5,57,4.6,21 February 2023
Bandai Namco Elden Ring - PlayStation 5,80,4.7,25 February 2022
DualSense Wireless Controller - Starlight Blue - PlayStation 5,79,4.8,13 January 2022
Demon's Souls - PlayStation 5,99,4.7,12 November 2020
PGA Tour 2K23 - PlayStation 5,24,4.2,14 October 2022
Mortal Kombat 11 Ultimate - PlayStation 5,28,4.1,18 November 2020
WWE 2K23 - PlayStation 5,52,3.9,17 March 2023
Death Stranding Director's Cut - PlayStation 5,36,4.6,24 September 2021
Forspoken - PlayStation 5,39,3.6,24 January 2023
Ghost of Tsushima Director's Cut for PlayStation 5,114,5.0,20 August 2021
Mortal Kombat 11 Ultimate (PS5),44,4.5,17 November 2020
Resident Evil 4 - PlayStation 5,84,4.8,24 March 2023
Saints Row Day One Edition - Playstation 5,39,3.1,23 August 2022
The Witcher 3: Wild Hunt Complete Edition - PlayStation 5,50,5.0,27 January 2023
